X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823374.06881062,4883236.92503052,11829,Stairs/Elevator to Neil & Hill | Stairs to Randolph,"20"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12976,,AERIAL,K,,8914,,{DBCFAF0D-2E7F-49D6-9676-1F7605624CF8}
-9823371.47738274,4883236.92244183,11830,Level 2,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12977,,AERIAL,K,,8915,,{5FB730EB-E9B7-4049-9782-F9D3449E40DC}
-9823368.78250022,4883236.81565187,11831,Level 2,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12978,,AERIAL,K,,8916,,{38660074-7B9A-47CA-A6B8-102CB64E3487}
-9823366.08738392,4883236.81295814,11832,Park Exit arrows right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12979,,AERIAL,K,,8917,,{5FB45F99-7916-4FFB-AB57-E804E96D247F}
-9823363.49605923,4883236.70640136,11833,Emergency Phone Push Button for Assistance arrow down,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12980,,AERIAL,K,,8918,,{0C878500-F70E-4B60-A1C2-2960E01E5232}
-9823360.90463142,4883236.70380989,11834,Keep Right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck,double sided,R4-7,Champaign,12981,,AERIAL,K,,8919,,{700CABE0-1A6C-4320-89EF-52EEB902CFCC}
-9823358.3133342,4883236.70121787,11835,Elevator/Stairs to Neil/Hill Streets,"12"" X 18""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12982,,AERIAL,K,,8920,,{F0D16292-5E82-4ECD-9F9E-63EE8BDB165A}
-9823355.72180317,4883236.80259105,11836,Level 2,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12983,,AERIAL,K,,8921,,{790DA4B8-738B-4E8D-AA4E-3A01FFCEF970}
-9823353.13047859,4883236.69603154,11837,Exit arrow right,"14"" X 18""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12984,,AERIAL,K,,8922,,{3C36AEC4-4196-4134-94A6-D02BA8ACE179}
-9823350.53905079,4883236.69343734,11838,Level 2,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12985,,AERIAL,K,,8923,,{2EF6F122-72A2-4BA4-8C0C-3863E2B1F620}
-9823347.84406513,4883236.69073876,11839,Elevator,"6"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12986,,AERIAL,K,,8924,,{691F8EAA-11D9-4B9C-892D-EE36C776B99D}
-9823345.45988365,4883236.68835079,11840,Stairway,"6"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12987,,AERIAL,K,,8925,,{512A1B1F-2E64-4893-A1F6-44D211F125BC}
-9823342.9722478,4883236.58176137,11841,Park Exit arrows right,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12988,,AERIAL,K,,8926,,{58282A3D-9FFB-4268-AF87-8BA4E3994774}
-9823340.38095062,4883236.57916464,11842,Level 2/3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12989,,AERIAL,K,,8927,,{0DEEB439-A36B-407C-AA80-CFCB58760C4A}
-9823337.68593795,4883236.47236605,11843,Level 2/3,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12990,,AERIAL,K,,8928,,{C862332E-E41E-4554-A760-0882EF7D4231}
